startingAirport,destinationAirport,baseFare,totalFare,seatsRemaining,segmentsAirlineName,segmentsDurationInSeconds,segmentsDistance
ATL,BOS,217.67,248.6,9,Delta,8940,947
ATL,BOS,217.67,248.6,4,Delta,9000,947
ATL,BOS,217.67,248.6,9,Delta,9000,947
ATL,BOS,217.67,248.6,8,Delta,9120,947
ATL,BOS,217.67,248.6,9,Delta,9240,947
ATL,BOS,292.09,328.6,9,Delta,9120,947
ATL,BOS,357.21,398.6,9,Delta,9180,947
ATL,BOS,357.21,398.6,2,Delta,9300,947
ATL,CLT,357.21,398.6,6,American Airlines,4080,228
ATL,CLT,357.21,398.6,6,Delta,4200,228
ATL,CLT,357.21,398.6,9,Delta,4260,228
ATL,CLT,357.21,398.6,9,Delta,4260,228
ATL,CLT,357.21,398.6,4,Delta,4380,228
ATL,CLT,357.21,398.6,9,Delta,4440,228
ATL,CLT,357.21,398.6,3,Delta,4440,228
ATL,CLT,357.21,398.6,4,Delta,4620,228
ATL,CLT,357.21,398.6,7,American Airlines,4860,228
ATL,CLT,357.21,398.6,1,American Airlines,4920,228
ATL,CLT,357.21,398.6,3,American Airlines,5160,228
ATL,CLT,357.21,398.6,4,American Airlines,5400,228
ATL,CLT,506.98,559.6,1,American Airlines,5160,228
ATL,DEN,262.33,296.61,9,Delta,11520,1207
ATL,DEN,262.33,296.61,9,Delta,11640,1207
ATL,DEN,262.33,296.61,2,Delta,11820,1207
ATL,DEN,262.33,296.61,9,Delta,11820,1207
ATL,DEN,262.33,296.61,5,United,11820,1207
ATL,DEN,262.33,296.61,9,Delta,11880,1207
ATL,DEN,262.33,296.61,9,Delta,11940,1207
ATL,DEN,262.33,296.61,3,Delta,12000,1207
ATL,DEN,262.33,296.61,9,Delta,12060,1207
ATL,DEN,262.33,296.61,5,United,12060,1207
ATL,DEN,262.33,296.61,1,United,12300,1207
ATL,DFW,174.88,202.6,9,Delta,7980,725
ATL,DFW,174.88,202.6,1,Delta,8100,725
ATL,DFW,174.88,202.6,9,Delta,8160,725
ATL,DFW,174.88,202.6,8,Delta,8160,725
ATL,DFW,174.88,202.6,1,Delta,8280,725
ATL,DFW,174.88,202.6,4,Delta,8460,725
ATL,DFW,174.88,202.6,9,Delta,8460,725
ATL,DFW,174.88,202.6,6,Delta,8520,725
ATL,DFW,174.88,202.6,9,Delta,8520,725
ATL,DFW,174.88,202.6,7,American Airlines,8580,725
ATL,DFW,174.88,202.6,7,American Airlines,8940,725
ATL,DFW,174.88,202.6,3,American Airlines,9000,725
ATL,DFW,174.88,202.6,7,American Airlines,9060,725
ATL,DFW,174.88,202.6,7,American Airlines,9300,725
ATL,DFW,221.4,252.61,9,Delta,8580,725
ATL,DFW,227.91,259.6,2,American Airlines,9180,725
ATL,DFW,245.58,278.6,3,Delta,8160,725
ATL,DFW,292.09,328.6,2,Delta,8460,725
ATL,DTW,450.23,498.6,9,Delta,6660,604
ATL,DTW,450.23,498.6,9,Delta,6720,604
ATL,DTW,450.23,498.6,9,Delta,6720,604
ATL,DTW,450.23,498.6,9,Delta,6780,604
ATL,DTW,450.23,498.6,9,Delta,6780,604
ATL,DTW,450.23,498.6,9,Delta,6840,604
ATL,DTW,450.23,498.6,9,Delta,6840,604
ATL,DTW,450.23,498.6,9,Delta,6900,604
ATL,EWR,171.16,198.6,7,JetBlue Airways,7740,762
ATL,EWR,175.81,203.6,9,Delta,6960,762
ATL,EWR,175.81,203.6,5,Delta,7260,762
ATL,EWR,175.81,203.6,7,Delta,7440,762
ATL,EWR,175.81,203.6,5,Delta,7500,762
ATL,EWR,175.81,203.6,9,Delta,7620,762
ATL,EWR,175.81,203.6,5,Delta,7740,762
ATL,EWR,175.81,203.6,6,Delta,7860,762
ATL,EWR,199.07,228.6,7,American Airlines,7740,762
ATL,EWR,222.33,253.61,1,United,8280,762
ATL,EWR,222.33,253.61,1,United,8340,762
ATL,EWR,222.33,253.61,2,United,8580,762
ATL,EWR,222.33,253.61,1,United,9300,762
ATL,EWR,245.58,278.6,5,Delta,7500,762
ATL,EWR,245.58,278.6,9,Delta,7560,762
ATL,IAD,226.98,258.6,1,United,6480,541
ATL,IAD,338.6,378.6,1,United,6660,541
ATL,IAD,338.6,378.6,1,United,6660,541
ATL,IAD,413.02,458.6,1,United,6660,541
ATL,IAD,450.23,498.6,8,Delta,5820,541
ATL,IAD,450.23,498.6,5,Delta,5880,541
ATL,JFK,171.16,198.6,7,JetBlue Airways,8100,762
ATL,JFK,171.16,198.6,5,Delta,8280,762
ATL,JFK,171.16,198.6,7,JetBlue Airways,8580,762
ATL,JFK,194.42,223.6,6,American Airlines,8100,762
ATL,JFK,194.42,223.6,6,American Airlines,8580,762
ATL,JFK,227.91,259.6,7,Delta,8220,762
ATL,JFK,245.58,278.6,3,Delta,8100,762
ATL,JFK,301.4,338.61,2,Delta,8220,762
ATL,JFK,329.3,368.6,3,Delta,8220,762
ATL,JFK,431.63,478.6,1,Delta,8280,762
ATL,LAX,450.23,498.6,9,Delta,16980,1919
ATL,LAX,450.23,498.6,9,Delta,16980,1919
ATL,LAX,450.23,498.6,9,Delta,17460,1919
ATL,LAX,543.26,598.61,7,Alaska Airlines,17460,1943
ATL,LAX,543.26,598.61,7,American Airlines,17460,1943
ATL,LAX,543.26,598.61,9,Delta,17760,1943
ATL,LAX,543.26,598.61,9,Delta,17760,1943
ATL,LAX,543.26,598.61,9,Delta,17820,1943
ATL,LAX,543.26,598.61,9,Delta,17820,1943
ATL,LAX,543.26,598.61,7,Delta,17820,1943
ATL,LAX,543.26,598.61,2,Delta,17880,1943
ATL,LAX,543.26,598.61,9,Delta,17880,1943
ATL,LAX,543.26,598.61,9,Delta,18000,1943
ATL,LAX,543.26,598.61,9,Delta,18000,1943
ATL,LAX,543.26,598.61,7,Delta,18000,1943
ATL,LAX,543.26,598.61,5,Delta,18120,1943
ATL,LGA,171.16,198.6,9,Delta,7800,762
ATL,LGA,171.16,198.6,1,Delta,7980,762
ATL,LGA,171.16,198.6,9,Delta,8040,762
ATL,LGA,171.16,198.6,9,Delta,8100,762
ATL,LGA,171.16,198.6,2,American Airlines,8160,762
ATL,LGA,171.16,198.6,2,JetBlue Airways,8160,762
ATL,LGA,171.16,198.6,9,Delta,8160,762
ATL,LGA,171.16,198.6,7,JetBlue Airways,8340,762
ATL,LGA,171.16,198.6,9,Delta,8340,762
ATL,LGA,171.16,198.6,7,American Airlines,8340,762
ATL,LGA,171.16,198.6,1,American Airlines,8520,762
ATL,LGA,171.16,198.6,1,JetBlue Airways,8520,762
ATL,LGA,213.95,244.6,5,Delta,7860,762
ATL,LGA,213.95,244.6,1,Delta,7920,762
ATL,LGA,213.95,244.6,4,Delta,8040,762
ATL,LGA,213.95,244.6,1,Delta,8160,762
ATL,LGA,213.95,244.6,3,Delta,8220,762
ATL,LGA,227.91,259.6,7,American Airlines,7620,762
ATL,LGA,227.91,259.6,7,JetBlue Airways,7620,762
ATL,LGA,254.88,288.6,6,Delta,7920,762
ATL,LGA,254.88,288.6,1,Delta,7920,762
ATL,MIA,152.56,178.6,3,American Airlines,6480,596
ATL,MIA,152.56,178.6,7,American Airlines,6720,596
ATL,MIA,152.56,178.6,7,American Airlines,7020,596
ATL,MIA,152.56,178.6,5,American Airlines,7260,596
ATL,MIA,171.16,198.6,1,American Airlines,7080,596
ATL,MIA,217.67,248.6,9,Delta,6540,596
ATL,MIA,217.67,248.6,2,Delta,6720,596
ATL,MIA,282.79,318.6,3,American Airlines,7200,596
ATL,MIA,292.09,328.6,5,Delta,6420,596
ATL,MIA,292.09,328.6,5,Delta,6480,596
ATL,MIA,292.09,328.6,4,Delta,6540,596
ATL,MIA,292.09,328.6,1,Delta,6660,596
ATL,MIA,292.09,328.6,8,Delta,6780,596
ATL,MIA,292.09,328.6,3,Delta,6900,596
ATL,MIA,385.12,428.6,7,Delta,6780,596
ATL,ORD,163.72,190.6,9,Delta,6900,600
ATL,ORD,163.72,190.6,1,Delta,7560,600
ATL,ORD,163.72,190.6,1,American Airlines,8100,600
ATL,ORD,174.88,202.6,1,United,7800,600
ATL,ORD,189.77,218.6,2,Delta,7200,600
ATL,ORD,189.77,218.6,3,Delta,7440,600
ATL,ORD,227.91,259.6,7,American Airlines,7860,600
ATL,ORD,236.28,268.6,2,Delta,6840,600
ATL,ORD,236.28,268.6,2,Delta,7560,600
ATL,ORD,245.58,278.6,1,United,7200,600
ATL,ORD,245.58,278.6,1,United,7200,600
ATL,ORD,273.49,308.6,2,Delta,7380,600
ATL,ORD,292.09,328.6,1,United,8100,600
ATL,PHL,264.19,298.6,1,Delta,7080,667
ATL,PHL,305.12,342.6,1,American Airlines,7440,667
ATL,PHL,413.02,458.6,2,Delta,6960,667
ATL,PHL,413.02,458.6,1,American Airlines,7380,667
ATL,PHL,636.28,698.6,2,Delta,6960,667
ATL,PHL,636.28,698.6,5,Delta,7020,667
ATL,PHL,636.28,698.6,3,Delta,7320,667
ATL,SFO,506.05,558.6,6,Delta,19140,2135
ATL,SFO,506.05,558.6,7,Delta,19200,2135
BOS,ATL,357.21,398.6,6,Delta,10320,947
BOS,ATL,357.21,398.6,5,Delta,10440,947
BOS,ATL,357.21,398.6,1,Delta,10740,947
BOS,ATL,431.63,478.6,2,Delta,10200,947
BOS,ATL,552.56,608.6,7,Delta,10200,947
BOS,ATL,729.3,798.6,4,Delta,10260,947
BOS,CLT,236.28,268.6,2,Delta,9300,728
BOS,CLT,265.12,299.6,7,JetBlue Airways,8880,728
BOS,CLT,265.12,299.6,7,JetBlue Airways,8880,728
BOS,CLT,392.56,436.6,1,American Airlines,8700,728
BOS,CLT,392.56,436.6,3,American Airlines,8760,728
BOS,CLT,392.56,436.6,1,American Airlines,8880,728
BOS,CLT,734.88,804.6,1,American Airlines,8940,728
BOS,DEN,278.14,313.6,3,United,16560,1763
BOS,DEN,278.14,313.6,2,United,16860,1763
BOS,DEN,278.14,313.6,1,United,16860,1763
BOS,DEN,278.14,313.6,7,JetBlue Airways,16920,1763
BOS,DEN,306.05,343.6,3,American Airlines,16920,1763
BOS,DEN,320.93,359.6,1,United,16620,1763
BOS,DEN,385.12,428.6,1,United,16860,1763
BOS,DFW,221.4,252.61,9,Delta,16140,1556
BOS,DFW,272.56,307.6,1,American Airlines,16080,1556
BOS,DFW,272.56,307.6,2,American Airlines,16080,1556
BOS,DFW,272.56,307.6,7,American Airlines,16080,1556
BOS,DFW,292.09,328.6,1,Delta,16500,1556
BOS,DFW,328.37,367.6,1,American Airlines,16140,1556
BOS,DFW,403.72,448.6,1,American Airlines,15960,1556
